type,area_in_marla,bedroom,bath,location_city,price
House,5.0,4.0,6.0,Islamabad,23000000.0
House,6.0,5.0,6.0,Islamabad,27000000.0
House,7.0,5.0,6.0,Islamabad,35000000.0
House,7.0,5.0,6.0,Islamabad,32500000.0
House,4.4,4.0,4.0,Islamabad,35000000.0
House,10.0,6.0,6.0,Islamabad,40900000.0
House,10.0,5.0,6.0,Islamabad,54000000.0
House,42.0,8.0,6.0,Islamabad,220000000.0
House,20.0,5.0,5.0,Islamabad,380000000.0
House,5.0,4.0,5.0,Islamabad,18500000.0
House,4.4,4.0,5.0,Islamabad,37500000.0
House,20.0,5.0,7.0,Islamabad,145000000.0
House,7.0,3.0,3.0,Islamabad,15000000.0
Flat,10.0,3.0,3.0,Islamabad,45000000.0
Flat,7.5,3.0,3.0,Islamabad,14000000.0
House,6.7,6.0,5.0,Islamabad,76000000.0
House,12.0,6.0,5.0,Islamabad,40000000.0
House,24.0,5.0,6.0,Islamabad,320000000.0
House,12.4,6.0,6.0,Islamabad,115000000.0
House,42.0,6.0,6.0,Islamabad,500000000.0
House,24.0,6.0,7.0,Islamabad,58000000.0
House,14.0,6.0,6.0,Islamabad,150000000.0
House,5.0,2.0,3.0,Islamabad,13200000.0
House,8.0,5.0,6.0,Islamabad,50000000.0
House,8.0,4.0,4.0,Islamabad,40000000.0
Flat,7.6,3.0,3.0,Islamabad,18000000.0
House,14.4,10.0,6.0,Islamabad,63000000.0
House,72.0,6.0,6.0,Islamabad,750000000.0
House,10.9,5.0,6.0,Islamabad,107000000.0
House,4.0,5.0,5.0,Islamabad,41000000.0
House,14.0,8.0,6.0,Islamabad,95000000.0
House,8.991735537190083,5.0,5.0,Karachi,29000000.0
Flat,3.5041322314049586,2.0,2.0,Karachi,14500000.0
Upper Portion,7.933884297520661,4.0,4.0,Karachi,37500000.0
House,8.264462809917354,4.0,4.0,Karachi,75000000.0
Flat,5.1570247933884295,2.0,2.0,Karachi,9000000.0
Upper Portion,5.289256198347108,3.0,3.0,Karachi,13500000.0
House,7.933884297520661,10.0,6.0,Karachi,110000000.0
Flat,4.396694214876033,2.0,2.0,Karachi,16500000.0
House,4.132231404958677,3.0,4.0,Karachi,9000000.0
Flat,8.066115702479339,4.0,4.0,Karachi,19500000.0
Flat,2.743801652892562,2.0,2.0,Karachi,12500000.0
Upper Portion,7.338842975206612,4.0,5.0,Karachi,47500000.0
Flat,4.528925619834711,2.0,2.0,Karachi,10500000.0
House,12.396694214876034,5.0,5.0,Karachi,62000000.0
House,11.570247933884298,4.0,4.0,Karachi,14000000.0
Upper Portion,9.917355371900827,3.0,3.0,Karachi,35000000.0
House,6.6115702479338845,3.0,3.0,Karachi,23000000.0
House,4.132231404958677,3.0,4.0,Karachi,13000000.0
Flat,4.760330578512397,3.0,3.0,Karachi,12500000.0
House,4.132231404958677,3.0,3.0,Karachi,11500000.0
Other,3.669421487603306,2.0,2.0,Karachi,13000000.0
Flat,5.322314049586777,3.0,3.0,Karachi,13000000.0
Flat,3.3057851239669422,3.0,2.0,Karachi,12000000.0
